gene_id,cds_gc_avg,int_gc_avg
ce.1.34,33.48,23.6
ce.1.74,40.37,22.45
ce.1.237,40.83,32.4
ce.1.419,37.47,26.56
ce.1.348,39.24,24.49
ce.2.54,45.82,22.76
ce.2.132,37.89,26.55
ce.3.60,45.84,35.62
ce.2.139,43.2,23.27
ce.1.215,46.31,22.64
ce.1.377,40.69,35.51
ce.1.477,45.22,24.77
ce.1.80,47.3,22.92
ce.1.277,38.52,22.22
ce.3.13,36.14,29.35
ce.2.218,47.64,34.78
ce.1.235,43.67,27.78
ce.3.26,44.12,22.03
ce.3.66,45.73,22.62
ce.2.123,52.39,25.98
ce.1.313,37.79,30.51
ce.1.288,41.91,16.67
ce.2.287,44.56,27.82
ce.3.38,42.32,32.22
ce.2.74,45.98,33.02
ce.1.479,59.4,31.07
ce.2.77,40.8,19.27
ce.1.195,44.7,28.89
ce.1.316,43.17,16.98
ce.1.426,49.69,29.58
ce.2.250,44.54,32.03
ce.2.20,39.88,25.66
ce.1.159,49.09,28.33
ce.1.178,51.72,25.4
ce.1.17,45.77,34.78
ce.1.411,46.43,39.58
ce.1.500,41.47,34.87
ce.2.235,51.39,27.8
ce.1.339,36.84,28.3
ce.2.240,37.04,26.12
ce.1.357,47.2,33.53
ce.1.408,45.25,34.62
ce.2.278,43.46,18.12
ce.3.55,44.55,25.01
ce.3.24,32.61,28.1
ce.1.386,46.09,31.25
ce.1.57,50.87,28.42
ce.1.176,43.91,24.53
ce.2.58,44.0,26.6
ce.1.120,40.86,23.94
ce.1.278,45.02,23.21
ce.1.376,47.62,23.87
ce.3.34,42.9,26.02
ce.1.78,38.89,26.79
ce.2.87,40.31,32.12
ce.1.100,41.52,25.58
ce.2.156,40.98,19.56
ce.1.243,38.48,24.0
ce.1.71,55.88,31.82
ce.2.30,47.2,24.65
ce.1.410,46.36,38.46
ce.2.131,54.36,19.36
ce.1.492,43.41,28.57
ce.2.229,43.7,49.06
ce.2.93,45.36,27.72
ce.2.73,52.33,41.83
ce.1.406,34.03,37.81
ce.1.327,35.7,24.66
ce.1.490,43.78,22.33
ce.2.260,51.84,24.7
ce.4.2,49.36,26.62
ce.1.345,55.2,26.47
ce.1.199,37.88,22.66
ce.1.32,50.13,23.66
ce.1.157,36.13,25.0
ce.2.163,44.63,26.13
ce.1.432,41.22,17.39
ce.2.86,48.68,36.02
ce.1.186,45.24,27.63
ce.1.147,44.55,28.57
ce.3.21,46.85,23.7
ce.1.47,49.0,12.2
ce.1.412,43.34,34.62
ce.1.272,49.76,26.0
ce.1.318,40.46,26.68
ce.3.50,42.27,24.51
ce.2.259,42.33,25.21
ce.1.521,48.3,22.92
ce.2.284,42.62,22.73
ce.1.299,41.09,22.81
ce.1.527,34.27,29.04
ce.1.155,39.81,24.74
ce.2.64,46.02,20.19
ce.3.28,43.12,34.31
ce.1.66,47.08,27.78
ce.1.267,39.1,28.06
ce.2.88,41.14,26.67
ce.2.179,49.47,19.81
ce.3.7,45.29,24.21
ce.1.301,49.12,38.2
ce.1.203,40.8,20.83
ce.1.323,47.16,20.51
ce.3.17,38.16,30.68
ce.1.68,38.77,25.0
ce.1.467,40.28,34.78
ce.1.107,49.73,26.92
ce.2.16,41.66,17.52
ce.2.70,37.86,26.7
ce.1.311,41.98,25.0
ce.1.258,37.86,29.09
ce.1.250,33.34,18.64
ce.2.191,41.39,33.97
ce.2.79,39.66,33.38
ce.2.27,39.36,31.6
ce.1.115,31.8,26.26
ce.1.33,40.56,20.0
ce.1.214,52.66,18.0
ce.1.427,36.97,29.02
ce.2.98,40.9,25.59
ce.1.12,35.52,30.61
ce.1.509,39.52,29.94
ce.1.160,37.71,28.99
ce.1.119,52.55,42.55
ce.1.444,51.35,27.08
ce.1.463,53.94,22.0
ce.2.81,43.93,31.56
ce.1.364,45.66,26.81
ce.1.161,39.07,29.17
ce.3.19,39.95,21.58
ce.1.205,39.3,34.88
ce.1.293,42.53,19.15
ce.1.312,51.59,25.0
ce.2.220,51.16,26.51
ce.1.285,39.92,23.78
ce.1.77,46.19,29.41
ce.1.26,48.25,17.95
ce.2.208,36.71,28.36
ce.1.94,36.27,26.79
ce.2.290,47.65,22.63
ce.1.185,43.95,36.54
ce.2.150,42.34,30.89
ce.1.300,43.05,32.91
ce.1.8,51.34,21.74
ce.2.71,41.71,28.72
ce.1.31,51.17,21.28
ce.1.488,43.09,24.0
ce.1.201,41.75,29.17
ce.3.25,40.85,32.22
ce.1.372,54.7,29.55
ce.1.330,55.73,28.57
ce.1.448,50.52,25.0
ce.1.442,42.8,36.17
ce.2.174,48.81,37.31
ce.1.45,43.96,29.79
ce.1.96,44.22,24.44
ce.1.5,55.3,30.43
ce.2.26,40.6,29.8
ce.1.321,47.58,25.45
ce.1.180,52.33,46.51
ce.1.269,36.34,34.57
ce.1.58,40.93,25.0
ce.1.98,47.25,22.0
ce.1.443,46.88,41.3
ce.1.441,44.69,54.37
ce.1.526,49.5,18.33
ce.3.27,41.85,17.87
ce.1.405,50.48,37.58
ce.1.397,44.0,27.91
ce.1.436,37.97,26.41
ce.1.460,43.2,15.91
ce.1.529,43.34,25.33
ce.1.158,41.27,35.19
ce.1.182,36.78,32.73
ce.1.179,40.39,28.0
ce.2.216,38.85,24.27
ce.2.206,43.15,20.61
ce.1.156,41.61,28.85
ce.1.56,39.61,29.17
ce.1.230,52.56,30.61
ce.1.307,60.08,42.54
ce.1.24,42.48,46.15
ce.1.202,35.53,24.84
ce.1.133,43.05,32.65
ce.3.40,41.08,21.52
ce.1.140,43.9,15.56
ce.1.468,51.92,30.61
ce.1.9,51.34,20.0
ce.1.105,41.64,32.08
ce.3.20,51.85,29.96
ce.3.3,43.66,23.19
ce.1.512,47.94,31.46
ce.2.185,39.53,35.67
ce.2.152,45.25,28.82
ce.1.536,42.58,28.51
ce.2.143,36.52,20.37
ce.2.137,44.45,24.56
ce.1.439,37.42,25.35
ce.3.48,33.99,29.75
ce.1.530,49.31,32.69
ce.1.263,40.2,28.3
ce.2.212,40.68,34.98
ce.2.84,36.9,21.69
ce.1.241,31.66,37.07
ce.2.125,47.41,28.87
ce.2.48,37.04,21.12
ce.1.523,41.22,31.01
ce.1.366,41.64,34.83
ce.1.89,50.34,33.33
ce.1.414,43.42,23.7
ce.1.489,43.62,34.29
ce.1.231,46.58,30.77
ce.1.413,35.09,25.51
ce.1.273,43.19,35.56
ce.1.370,43.25,25.32
ce.1.274,49.2,37.69
ce.2.234,58.72,26.01
ce.2.103,39.12,21.38
ce.1.485,46.16,14.71
ce.1.476,44.67,28.83
ce.1.513,46.7,59.83
ce.3.12,45.09,27.1
ce.2.68,50.45,28.09
ce.2.211,44.55,28.37
ce.1.224,38.8,26.44
ce.1.122,33.98,33.33
ce.2.241,44.85,28.81
ce.2.34,39.28,34.8
ce.1.457,50.1,35.21
ce.3.58,44.28,25.33
ce.1.537,51.04,30.66
ce.2.182,42.12,22.03
ce.2.274,24.5,27.77
ce.1.308,45.27,31.11
ce.2.167,42.46,22.29
ce.2.47,40.6,29.46
ce.1.329,42.54,31.61
ce.4.0,36.57,29.63
ce.1.246,44.87,21.28
ce.3.31,53.65,25.71
ce.2.83,33.15,30.88
ce.1.0,49.97,23.91
ce.2.49,40.27,27.27
ce.1.42,50.64,38.89
ce.1.183,53.95,31.08
ce.1.447,43.14,34.29
ce.3.8,41.17,19.33
ce.2.272,42.71,27.48
ce.1.35,37.39,22.45
ce.1.337,40.94,17.65
ce.1.390,36.55,30.39
ce.1.440,39.55,26.67
ce.1.373,46.84,27.8
ce.2.89,49.11,27.77
ce.1.507,42.95,29.95
ce.1.126,45.8,20.75
ce.1.379,39.69,23.64
ce.2.202,46.45,24.13
ce.1.90,47.83,31.91
ce.2.0,40.74,16.78
ce.2.119,38.46,30.8
ce.2.102,36.16,23.2
ce.3.59,52.17,25.33
ce.2.273,44.23,30.3
ce.2.67,52.23,31.0
ce.1.264,42.07,34.09
ce.2.279,49.55,27.36
ce.2.51,46.85,26.1
ce.4.3,41.56,26.86
ce.2.141,47.02,23.37
ce.1.129,47.1,31.25
ce.1.425,35.48,27.18
ce.1.262,49.89,21.82
ce.2.294,42.41,22.22
ce.2.157,35.27,27.3
ce.1.86,41.56,32.08
ce.1.349,43.77,19.61
ce.2.288,42.66,25.81
ce.2.247,41.32,36.99
ce.4.4,40.27,22.23
ce.1.336,49.71,29.63
ce.1.239,40.94,20.41
ce.3.6,43.79,23.33
ce.1.310,53.22,22.64
ce.1.279,47.06,25.27
ce.1.367,46.91,27.78
ce.1.21,37.61,20.93
ce.2.21,43.32,17.29
ce.1.407,40.41,29.39
ce.1.223,46.18,22.22
ce.1.253,32.39,29.03
ce.2.13,37.81,19.96
ce.1.248,42.09,34.16
ce.1.194,48.91,22.22
ce.1.136,44.75,24.49
ce.1.40,50.73,33.33
ce.1.167,38.94,28.89
ce.1.462,30.23,24.24
ce.2.282,51.25,18.71
ce.1.75,53.06,25.45
ce.1.150,34.12,20.0
ce.1.85,41.02,23.53
ce.1.483,51.53,29.79
ce.2.239,44.35,27.69
ce.1.261,49.77,21.82
ce.1.543,49.12,29.17
ce.1.317,56.72,24.55
ce.2.238,45.8,22.54
ce.1.499,44.2,24.49
ce.1.22,39.74,34.78
ce.2.43,41.8,19.1
ce.1.503,44.18,33.33
ce.2.96,44.79,30.39
ce.3.10,46.96,25.65
ce.1.517,50.55,48.12
ce.1.128,47.91,18.33
ce.2.188,52.47,20.02
ce.1.3,39.0,25.53
ce.1.97,40.38,34.25
ce.2.248,46.86,34.51
ce.3.64,35.45,24.6
ce.1.501,40.66,28.57
ce.1.76,41.38,30.0
ce.2.231,43.48,28.33
ce.2.110,46.76,31.56
ce.1.256,48.68,27.54
ce.2.210,39.71,23.95
ce.1.60,47.62,38.67
ce.3.45,37.18,24.86
ce.1.73,44.43,35.42
ce.3.69,47.09,24.0
ce.2.172,40.47,25.0
ce.1.498,54.3,18.9
ce.1.266,35.94,31.25
ce.1.473,36.89,18.75
ce.1.210,49.48,22.22
ce.2.122,38.47,23.7
ce.1.145,40.03,25.93
ce.2.15,56.38,32.38
ce.1.118,44.61,33.87
ce.2.164,38.1,26.18
ce.1.303,36.63,25.0
ce.1.104,49.11,26.19
ce.1.438,44.39,36.51
ce.1.222,42.15,26.09
ce.1.418,52.64,32.14
ce.2.264,38.28,27.2
ce.1.389,45.66,31.33
ce.1.350,51.09,24.63
ce.4.6,42.86,26.13
ce.1.169,49.76,19.23
ce.1.25,49.28,18.6
ce.2.175,38.15,31.61
ce.2.60,41.38,22.64
ce.2.1,40.98,26.27
ce.1.522,44.2,18.33
ce.1.362,46.34,36.84
ce.3.23,44.07,22.7
ce.2.91,35.88,33.0
ce.1.292,50.69,35.71
ce.1.255,48.27,33.73
ce.1.139,50.53,29.43
ce.3.62,41.44,32.82
ce.1.268,33.8,16.28
ce.2.124,47.2,26.89
ce.3.14,37.2,33.13
ce.2.181,48.21,20.16
ce.3.37,38.04,25.31
ce.2.219,40.25,28.91
ce.1.284,50.99,25.71
ce.1.172,39.6,28.26
ce.2.94,43.27,24.5
ce.2.225,45.82,19.64
ce.2.29,31.12,25.27
ce.1.434,43.0,24.07
ce.1.328,39.09,25.93
ce.1.538,38.0,20.37
ce.2.237,38.22,23.63
ce.1.43,45.9,30.77
ce.3.42,46.98,35.01
ce.2.252,53.09,30.61
ce.2.190,41.68,30.57
ce.1.453,44.55,26.92
ce.1.361,38.99,21.83
ce.1.165,50.95,20.61
ce.2.160,44.5,32.86
ce.1.394,53.98,25.2
ce.2.134,37.74,27.45
ce.2.199,39.66,17.6
ce.1.487,37.23,47.0
ce.2.85,41.23,26.76
ce.2.55,43.85,29.49
ce.2.146,36.18,24.66
ce.1.356,37.17,27.63
ce.2.105,48.16,37.23
ce.2.18,44.69,30.73
ce.1.260,50.61,40.09
ce.1.341,48.72,34.69
ce.2.95,41.8,27.23
ce.1.332,48.69,23.26
ce.2.154,45.28,22.89
ce.1.409,40.49,21.74
ce.2.99,44.38,21.43
ce.1.544,42.27,32.7
ce.1.2,44.94,26.09
ce.1.249,49.24,21.28
ce.2.281,39.51,26.05
ce.2.286,52.61,18.76
ce.2.66,47.91,29.41
ce.2.171,45.4,23.91
ce.1.151,40.05,28.51
ce.1.81,52.84,42.22
ce.1.99,46.76,17.31
ce.1.101,40.54,22.92
ce.1.381,41.76,25.58
ce.2.52,45.87,23.83
ce.1.213,44.08,36.73
ce.1.280,44.2,21.74
ce.1.539,53.73,20.83
ce.1.283,40.09,29.85
ce.1.4,49.59,40.0
ce.2.108,50.1,28.72
ce.2.184,38.36,29.09
ce.1.79,38.09,18.37
ce.1.154,45.53,27.59
ce.1.127,54.38,24.44
ce.1.112,46.14,30.0
ce.1.206,48.93,16.33
ce.1.50,46.02,23.81
ce.2.232,45.45,31.44
ce.1.146,38.5,23.08
ce.2.265,54.3,26.89
ce.2.120,37.03,23.18
ce.2.136,41.64,25.07
ce.1.475,31.88,18.97
ce.2.22,41.91,29.3
ce.1.524,48.63,31.08
ce.1.296,38.11,17.65
ce.1.545,44.87,25.0
ce.1.252,44.66,27.03
ce.1.148,58.97,34.69
ce.1.1,44.54,23.4
ce.1.399,41.9,21.74
ce.4.7,42.2,33.24
ce.1.130,42.91,30.61
ce.1.41,45.17,28.57
ce.1.20,37.5,23.44
ce.2.257,48.21,26.91
ce.2.196,41.41,21.68
ce.2.144,49.2,15.54
ce.2.221,56.09,25.34
ce.2.189,40.21,31.3
ce.3.52,46.84,27.6
ce.1.472,50.77,26.92
ce.1.470,46.81,41.67
ce.1.102,52.69,36.17
ce.1.188,46.45,22.08
ce.1.469,40.5,32.69
ce.1.227,45.33,33.33
ce.1.484,46.39,19.83
ce.1.39,34.66,20.0
ce.1.171,38.2,24.49
ce.2.53,47.78,25.93
ce.1.211,44.68,26.42
ce.2.107,49.22,28.52
ce.2.271,41.26,30.04
ce.2.118,48.57,27.91
ce.1.531,45.89,28.3
ce.1.486,43.88,24.51
ce.1.30,46.3,25.22
ce.1.540,51.7,27.0
ce.2.111,41.31,18.82
ce.2.39,47.33,29.8
ce.2.187,48.8,28.08
ce.1.474,41.28,22.22
ce.1.369,45.29,21.57
ce.2.6,42.47,23.92
ce.1.388,53.16,26.09
ce.1.515,41.3,27.59
ce.1.398,43.58,40.16
ce.1.504,40.16,33.96
ce.1.294,35.28,27.59
ce.2.155,44.4,24.67
ce.2.12,55.03,24.36
ce.1.343,45.78,26.58
ce.2.153,55.58,27.49
ce.1.111,50.78,30.61
ce.1.257,50.99,24.49
ce.2.168,42.63,30.04
ce.1.393,53.8,21.88
ce.2.217,47.48,25.3
ce.2.3,42.87,16.81
ce.2.82,40.63,19.14
ce.1.63,49.72,31.58
ce.1.52,40.23,22.67
ce.2.104,36.3,27.68
ce.2.31,53.82,35.97
ce.2.17,48.2,35.26
ce.2.258,42.33,25.07
ce.2.127,50.15,27.46
ce.3.41,39.39,24.38
ce.2.38,40.38,25.2
ce.1.238,53.34,34.69
ce.1.152,41.84,16.98
ce.1.216,40.47,24.44
ce.2.128,55.26,26.82
ce.1.19,48.03,23.94
ce.2.192,38.14,23.84
ce.2.78,41.28,30.23
ce.1.315,37.5,22.4
ce.1.174,48.35,27.08
ce.1.365,42.88,28.26
ce.1.207,43.92,23.91
ce.1.220,41.05,24.07
ce.2.162,47.01,33.33
ce.1.204,59.37,32.95
ce.2.256,44.61,27.64
ce.2.255,37.68,25.45
ce.2.228,45.23,18.66
ce.2.269,42.83,28.32
ce.2.203,39.92,25.15
ce.1.226,44.07,32.69
ce.1.15,48.04,18.63
ce.1.218,56.55,23.74
ce.1.142,44.52,26.97
ce.1.49,37.64,18.37
ce.1.428,51.78,21.07
ce.1.281,41.4,22.45
ce.3.4,45.13,40.86
ce.1.454,37.98,34.43
ce.1.88,48.81,27.54
ce.2.236,42.12,17.02
ce.1.181,36.12,25.53
ce.2.9,35.96,25.41
ce.2.147,44.09,17.65
ce.2.23,45.23,23.98
ce.1.360,41.64,23.26
ce.1.191,34.93,28.9
ce.1.236,42.17,34.04
ce.1.189,53.45,27.78
ce.1.384,43.33,33.01
ce.1.403,47.78,29.0
ce.2.126,42.29,25.84
ce.3.44,43.71,35.59
ce.2.276,49.22,26.85
ce.1.65,34.98,17.39
ce.2.35,38.98,28.53
ce.2.25,44.66,23.87
ce.1.491,45.55,30.3
ce.1.518,48.16,29.29
ce.1.352,47.87,25.62
ce.1.324,34.91,32.02
ce.1.340,51.95,31.78
ce.3.15,35.31,31.67
ce.2.130,40.71,30.0
ce.1.54,53.71,23.38
ce.2.292,45.64,29.33
ce.3.33,41.09,26.97
ce.2.263,46.78,22.03
ce.1.400,47.74,20.0
ce.3.0,40.3,27.23
ce.1.383,37.92,29.06
ce.2.46,40.87,29.65
ce.2.165,44.14,33.03
ce.1.508,51.38,37.34
ce.1.533,45.35,37.86
ce.1.385,42.09,27.95
ce.2.224,46.79,31.3
ce.2.57,42.14,26.45
ce.1.359,44.34,27.85
ce.2.37,43.7,31.37
ce.1.23,50.24,22.06
ce.2.100,45.69,30.0
ce.1.344,45.98,18.97
ce.1.395,36.05,22.92
ce.2.270,42.51,28.08
ce.1.497,55.42,35.41
ce.2.215,43.06,24.61
ce.1.435,45.55,27.56
ce.1.464,44.42,35.32
ce.2.209,51.74,32.41
ce.1.219,48.19,28.47
ce.2.80,45.79,30.77
ce.2.280,44.47,25.21
ce.1.520,49.29,24.49
ce.1.192,53.52,31.91
ce.1.70,38.59,37.78
ce.1.282,47.85,27.88
ce.1.429,40.27,24.44
ce.1.190,47.06,28.57
ce.1.271,43.28,23.33
ce.2.117,37.6,32.77
ce.2.251,46.76,29.18
ce.2.161,49.93,28.06
ce.1.458,36.56,26.82
ce.2.275,42.14,24.83
ce.1.229,50.6,47.14
ce.1.452,41.09,21.57
ce.1.48,49.93,28.26
ce.2.90,41.31,24.66
ce.1.144,48.93,18.37
ce.1.431,38.66,29.79
ce.2.133,44.98,23.56
ce.2.178,39.36,31.86
ce.1.36,46.64,22.0
ce.2.114,48.28,13.95
ce.2.205,41.1,24.46
ce.1.72,50.33,35.19
ce.1.242,44.53,17.65
ce.1.375,49.19,34.04
ce.1.131,42.62,31.25
ce.2.14,32.47,31.52
ce.2.244,36.13,20.57
ce.3.32,54.34,26.53
ce.1.319,39.78,18.78
ce.1.197,49.2,43.75
ce.1.37,41.52,32.73
ce.1.451,52.52,31.06
ce.1.514,47.53,45.95
ce.1.217,44.38,28.0
ce.1.53,42.11,23.08
ce.1.132,41.9,17.31
ce.1.116,49.52,42.55
ce.1.184,38.44,18.87
ce.2.106,49.03,24.27
ce.1.535,46.37,31.22
ce.1.334,53.37,43.04
ce.2.261,50.2,29.32
ce.1.449,43.52,31.75
ce.1.331,43.53,39.39
ce.1.417,47.7,28.89
ce.2.129,46.36,18.39
ce.1.478,44.27,31.25
ce.1.16,48.55,30.43
ce.1.455,57.17,22.62
ce.1.270,38.93,23.53
ce.1.304,46.27,17.02
ce.1.84,45.84,17.65
ce.2.285,57.7,28.41
ce.3.54,45.14,20.51
ce.1.446,46.04,25.86
ce.1.482,39.15,31.91
ce.1.297,46.09,32.0
ce.1.416,37.88,16.98
ce.2.195,51.51,27.23
ce.1.461,45.58,22.92
ce.1.404,35.03,24.56
ce.2.32,46.5,35.98
ce.1.124,44.35,18.18
ce.1.465,39.03,31.75
ce.2.63,44.21,27.86
ce.1.141,51.94,31.11
ce.2.69,41.26,24.01
ce.2.201,44.78,24.81
ce.1.55,45.9,46.67
ce.3.39,43.86,27.44
ce.1.275,45.81,28.89
ce.2.242,45.88,34.13
ce.2.245,44.53,21.33
ce.1.354,47.56,31.32
ce.2.8,45.81,28.86
ce.1.83,45.3,33.9
ce.1.422,48.73,30.0
ce.1.59,41.3,21.18
ce.1.291,48.82,30.47
ce.3.11,40.09,22.78
ce.1.28,50.3,29.41
ce.2.230,36.88,23.23
ce.1.51,32.01,33.53
