gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.271,0.6729,1.0000,0.9950,0.0002,0.2009,0.3627,0.0027,0.9986
2.259,0.6602,0.9871,0.9983,0.2153,0.0023,0.8857,0.9951,0.9993
1.315,1.0000,0.5421,0.8360,0.9752,0.4848,0.5028,0.0488,0.9353
1.481,0.8107,0.0574,0.9894,0.0027,0.0367,0.1050,0.0008,0.9983
2.72,0.7929,0.9986,0.0866,0.2885,0.9972,0.7898,0.0019,0.9945
3.16,0.5893,0.5246,0.9956,0.0082,0.1687,0.8077,0.0002,0.9965
2.157,0.6160,0.5797,1.0000,0.0579,0.9981,0.0149,0.0047,0.0020
2.180,0.5002,0.9998,0.9905,0.0014,0.9992,0.6959,0.9997,0.9836
2.39,0.3526,0.7116,0.9984,0.0017,0.9982,0.6808,0.5907,0.9927
2.267,1.0000,0.5165,0.0615,0.9825,0.9808,0.3156,0.9014,0.0356
3.49,0.6667,0.9916,0.9919,0.0042,0.9946,0.1012,0.9982,0.0004
2.108,0.6035,0.2339,0.9978,0.1058,0.0037,0.8434,0.6469,0.9954
2.92,0.5140,0.9982,0.9975,0.9980,0.9952,0.8472,0.7505,0.9882
2.122,0.7790,0.9980,0.9994,0.0041,0.0077,0.7392,0.9979,0.3024
3.42,0.6002,0.9981,0.9980,0.0007,0.9849,0.8267,0.9961,0.9844
1.218,0.5600,0.9984,0.9973,0.0212,0.9885,0.7282,0.0100,0.9993
1.13,0.3467,0.5061,0.0572,0.0024,0.7322,0.9362,0.0442,0.9925
1.423,1.0000,0.9962,0.7755,0.2451,0.9090,0.1634,0.2530,0.8298
2.169,0.8023,0.9963,0.9992,0.1427,0.6106,0.0682,0.0353,0.9955
1.325,0.6929,0.1016,0.9906,0.0001,0.9991,0.5371,0.0004,0.9983
1.468,0.8010,0.0009,1.0000,0.0030,0.0065,0.2386,0.0034,0.9972
1.247,1.0000,0.7481,0.3721,0.3531,0.5386,0.5041,0.2542,0.2833
3.3,0.1529,0.9943,0.7000,0.0826,0.1686,0.9350,0.6048,0.9989
1.298,0.6782,0.9999,0.9992,0.3815,0.0104,0.6583,0.0096,0.9995
1.134,0.5060,0.8400,0.9993,0.0051,0.9961,0.1229,0.2756,0.9949
1.77,0.0762,0.9934,0.9999,0.0412,0.3241,0.6064,0.0725,0.9988
1.149,0.6678,0.9995,0.9885,0.0078,0.9992,0.8862,0.7535,0.9977
2.65,0.5162,0.9948,0.9983,0.2366,0.9988,0.3461,0.9976,0.9996
1.116,0.3477,0.9958,0.4070,0.0009,0.9995,0.6372,0.0092,0.9993
1.28,0.4637,0.9995,0.9973,0.0009,0.1229,0.3230,0.5364,0.9834
1.538,1.0000,0.8206,0.1317,0.0965,0.3132,0.1538,0.4940,0.9073
2.10,0.1126,0.9891,0.9988,0.0054,0.9964,0.3219,0.1131,0.9995
1.405,1.0000,0.4522,0.7357,0.1396,0.3680,0.1504,0.0806,0.3256
2.205,0.9339,0.2211,0.2199,0.0058,0.9981,0.2635,0.9986,0.3182
2.140,0.6987,0.9997,0.9981,0.0995,0.9998,0.5487,0.0014,0.9977
1.98,0.5564,0.9997,0.9979,0.0076,0.0039,0.1117,0.0365,0.9960
1.258,0.7659,0.6694,0.9965,0.0016,0.9922,0.1972,0.0076,0.9989
1.213,0.5275,0.9891,0.0053,0.0001,0.7307,0.1014,0.0047,0.9982
1.377,1.0000,0.7971,0.4215,0.6135,0.0929,0.7750,0.8355,0.8914
2.211,0.5813,0.9985,0.8300,0.0050,0.9965,0.4854,0.0040,1.0000
1.156,0.5102,0.9968,0.9996,0.2512,0.1677,0.4550,0.0042,0.9985
1.101,0.5001,0.9939,0.9923,0.6065,0.6895,0.0184,0.9927,0.9997
4.0,0.2227,0.6026,0.9959,0.0286,0.9982,0.4466,0.5677,0.9956
1.60,0.2794,0.9968,0.9923,0.0005,0.9999,0.2748,0.8770,0.9943
1.525,1.0000,0.8956,0.4513,0.4294,0.3895,0.8837,0.7959,0.9828
1.441,1.0000,0.8146,0.3490,0.9473,0.1264,0.3426,0.9380,0.8116
1.71,0.0119,0.9838,0.9925,0.5366,0.9940,0.7310,0.9955,0.9989
3.20,0.7528,0.9909,0.9999,0.0951,0.2744,0.7003,0.1181,1.0000
1.332,0.6657,0.5034,1.0000,0.0026,0.9993,0.2438,0.0083,0.9998
1.250,0.6751,0.6867,0.9962,0.0025,0.2999,0.8541,0.0081,0.9969
1.97,0.7076,0.9981,0.8639,0.0016,0.9918,0.9026,0.9998,0.9998
2.85,0.7539,0.9978,0.9999,0.9932,0.0019,0.3763,0.0070,0.9824
1.280,0.6062,0.9999,0.9953,0.0010,0.5510,0.6212,0.7160,0.9976
1.171,0.5596,0.9987,0.4308,0.0021,0.9857,0.9293,0.0025,0.9972
1.288,0.7493,0.1182,0.9951,0.0058,0.4893,0.2164,0.8492,0.9872
2.6,0.1440,0.9883,0.9979,0.0049,0.7951,0.8594,0.9993,0.9990
1.10,0.2066,0.9738,0.9944,0.0084,0.9997,0.5297,0.0011,0.9987
1.167,1.0000,0.3376,0.8068,0.2701,0.8667,0.4809,0.1803,0.4350
1.342,1.0000,0.4677,0.4871,0.8855,0.7596,0.7618,0.0642,0.1376
1.8,0.2660,0.7456,0.9954,0.0035,0.6888,0.9758,0.0122,0.9949
1.220,0.6930,0.9989,0.9973,0.3083,0.9991,0.7000,0.2891,0.7605
2.296,0.8000,0.9891,0.9994,0.0035,0.0003,0.1505,0.0010,0.9947
1.40,0.1283,0.9993,0.8712,0.0061,0.4199,0.0938,0.0028,0.9993
3.11,0.2856,0.9934,0.5229,0.9992,0.8315,0.0854,0.9982,0.9924
1.470,0.9922,0.0018,0.5184,0.0107,0.9929,0.9122,0.0013,0.9989
2.83,0.4118,0.5647,0.9929,0.0016,0.0051,0.5549,0.0015,0.9993
1.514,1.0000,0.0794,0.2784,0.8966,0.3923,0.5364,0.8015,0.4290
1.186,0.5075,0.0241,0.9940,0.0029,0.9934,0.8242,0.0009,0.9904
2.171,0.6042,0.0834,0.9993,0.0048,0.9991,0.9876,0.3683,0.4819
2.234,0.7503,0.2807,0.9977,0.0062,0.6463,0.5420,0.9957,0.9929
2.198,0.3438,0.9937,0.9975,0.3812,0.6362,0.6100,0.8111,0.9973
1.499,0.8000,0.9997,0.9982,0.0032,0.6848,0.9744,0.0043,0.9990
1.475,0.7502,0.9939,0.9984,0.0035,0.0027,0.3751,0.9958,0.9996
2.21,0.3547,0.8990,0.9992,0.0012,0.0991,0.2342,0.8296,0.9822
3.7,0.0398,0.9952,0.9962,0.0001,0.1024,0.0380,0.0011,0.9975
2.130,0.5225,0.4988,0.0811,0.0519,0.0098,0.2331,0.0007,0.9996
1.517,1.0000,0.0866,0.4327,0.7954,0.0892,0.9352,0.5947,0.2757
1.482,0.8227,0.1027,0.9984,0.0020,0.9993,0.6577,0.9985,0.4732
1.346,1.0000,0.8459,0.6598,0.7320,0.3389,0.2975,0.9894,0.8395
1.222,0.6731,0.9977,0.9965,0.8806,0.9962,0.1566,0.9980,0.9962
1.269,0.8039,0.9916,1.0000,0.2310,0.4324,0.0212,0.0014,0.0017
2.261,0.8004,0.9936,0.0004,0.0006,0.9983,0.0538,0.0013,0.9996
1.275,0.7404,0.9997,0.9917,0.0168,0.1320,0.0232,0.0011,0.9947
1.311,0.6700,0.9942,0.9997,0.7515,0.9927,0.2059,0.9969,0.9980
1.187,0.0322,0.3551,0.9904,0.0002,0.9978,0.5380,0.0005,0.9992
1.192,0.0099,0.9999,0.9965,0.0012,0.9979,0.4647,0.0023,0.9963
1.221,0.4923,0.3405,0.9891,0.0002,0.9977,0.9990,0.0009,0.9994
1.9,0.5010,0.9950,0.9991,0.2546,0.9941,0.2781,0.0044,0.9995
1.343,1.0000,0.0070,0.0924,0.1901,0.5820,0.1273,0.8741,0.7013
2.263,0.6000,0.4602,0.9928,0.0000,0.9994,0.3476,0.1595,0.9730
1.11,0.5008,0.9953,0.9962,0.4157,0.9993,0.6876,0.9991,0.9990
2.7,0.0435,0.6242,0.9992,0.0005,0.7804,0.9736,0.3387,0.9971
1.289,0.9999,0.5256,0.0861,0.2379,0.7916,0.4606,0.9185,0.5101
1.170,0.6088,0.9263,0.9975,0.0011,0.2444,0.6443,0.0034,0.9974
2.184,0.5085,0.9939,0.9957,0.3311,0.0002,0.0980,0.9021,0.9983
2.228,0.5542,0.9995,0.9976,0.0077,0.6856,0.3979,0.0068,0.9953
1.485,0.7986,0.8653,0.9464,0.0708,0.3800,0.6057,0.4265,0.9953
2.76,0.5012,0.9980,0.9950,0.6965,0.9999,0.8237,0.9956,0.9952
1.508,1.0000,0.9314,0.1299,0.8972,0.5304,0.6103,0.0458,0.4758
2.260,0.8086,0.0013,0.8056,0.0003,0.9101,0.0595,0.0132,0.9963
2.199,1.0000,0.9596,0.2941,0.1160,0.0578,0.7296,0.7976,0.5215
1.17,0.4918,0.9988,0.0012,0.0050,0.9835,0.9755,0.0030,0.9968
3.46,0.3038,0.9976,0.9969,0.2266,0.9959,0.9207,0.0015,0.9889
1.543,0.8010,0.6205,0.9998,0.0007,0.0005,0.9472,0.0025,0.9905
1.427,1.0000,0.3355,0.6868,0.1054,0.3825,0.4879,0.3358,0.8488
2.126,0.5400,0.9996,0.9962,0.0919,0.4329,0.3246,0.9969,0.8528
1.483,0.8118,0.8064,0.9924,0.0036,0.9966,0.8925,0.9989,0.9971
1.516,0.9997,0.9026,0.5637,0.3491,0.2016,0.4238,0.7003,0.2288
2.131,0.2507,0.9993,0.9999,0.0078,0.9923,0.8605,0.0092,0.9998
1.474,0.7642,0.9216,0.9955,0.0014,0.0039,0.0309,0.9923,0.9875
1.130,0.0551,0.9921,0.9982,0.0019,0.0902,0.9351,0.3181,0.9968
1.416,0.8000,0.0004,0.9957,0.9999,0.9991,0.9967,0.0005,0.9964
2.210,0.8263,0.9984,0.9993,0.0012,0.9913,0.5120,0.0002,0.1945
1.26,0.5961,0.9979,0.9963,0.0002,0.6003,0.2843,0.9968,0.9973
2.117,0.6543,0.7993,0.9934,0.0031,0.0052,0.1374,0.5568,0.9951
1.539,0.7500,0.9934,0.9956,0.0028,0.9974,0.0337,0.0141,0.9931
2.141,0.4179,0.9871,0.9889,0.0141,0.9946,0.2558,0.9971,0.9925
1.404,0.9999,0.9984,0.4101,0.1777,0.3981,0.6431,0.0011,0.9949
1.382,0.6549,0.3285,0.9974,0.0006,0.9604,0.7684,0.0044,0.9977
2.84,0.5457,0.9985,0.9941,0.5458,0.9936,0.1522,0.0097,0.9954
1.96,0.2821,0.5105,0.5086,0.0012,0.9980,0.0151,0.0168,0.9976
1.320,0.7388,0.9958,0.9981,0.5304,0.9909,0.7234,0.4689,0.9926
1.251,0.9999,0.8269,0.5840,0.6557,0.7676,0.5708,0.4489,0.5885
1.244,0.5597,0.9928,0.4899,0.0102,0.9970,0.6310,0.0006,0.9963
1.333,0.6359,0.9929,0.9937,0.2734,0.9996,0.5543,0.0006,0.9914
1.61,0.4540,0.3425,0.9893,0.0014,0.9991,0.6142,0.1777,0.9920
2.219,0.7500,0.9991,0.9634,0.4830,0.0013,0.5741,0.9974,0.9940
1.84,0.5106,0.8956,0.9979,0.0011,0.4662,0.2126,0.9951,0.9991
2.47,0.3334,0.9968,0.9987,0.0096,0.9966,0.8020,0.0388,0.9992
2.5,0.1563,0.9929,0.6696,0.1880,0.9967,0.8517,0.9968,0.9946
1.100,0.5258,0.9987,0.9970,0.0049,0.9935,0.9755,0.7560,0.9998
2.252,0.8333,0.0839,0.9991,0.0058,0.8145,0.6550,0.0034,0.9983
2.73,0.0014,0.9882,0.3646,0.0025,0.9997,0.5649,0.0045,0.9942
2.109,0.3861,0.9955,0.9981,0.0032,0.0017,0.2611,0.9956,0.9954
3.48,0.3062,0.9924,0.9991,0.2156,0.8052,0.3564,0.9986,0.9975
1.163,0.5023,0.9884,0.9921,0.1267,0.0004,0.2793,0.0068,0.9957
1.128,0.5767,0.9956,0.9955,0.0008,0.6351,0.9795,0.9493,0.9936
1.284,0.7247,0.9977,0.9984,0.0049,0.1563,0.7933,0.0008,0.9988
2.156,0.6210,0.9937,0.9939,0.0028,0.9989,0.0943,0.9981,0.9994
3.17,0.2727,0.9998,0.9989,0.2051,0.8320,0.1440,0.9245,0.9868
1.413,0.7568,0.3173,0.9987,0.0005,0.9977,0.9356,0.0013,0.9902
2.258,0.5375,0.9984,0.9964,0.2656,0.9972,0.9706,0.9973,0.9984
2.175,0.5016,0.9999,0.9978,0.0002,0.9992,0.5854,0.0011,0.9950
3.15,0.2851,0.9906,0.9929,0.0001,0.0061,0.6348,0.9976,0.9964
1.44,0.5008,0.9912,0.9893,0.9983,0.9971,0.4760,0.9995,0.9997
1.510,1.0000,0.5637,0.7077,0.1821,0.8944,0.3844,0.0761,0.8895
2.87,0.6573,0.9999,0.9949,0.3781,0.9939,0.5605,0.0003,0.9879
2.207,0.8156,0.9981,0.9983,0.0012,0.9995,0.1183,0.0008,0.2764
2.292,0.6580,0.6083,0.9907,0.0012,0.9581,0.5117,0.4562,0.9928
2.25,0.3584,0.8723,0.9988,0.0063,0.9992,0.8675,0.9999,0.9993
1.29,0.5000,0.9988,0.9942,0.9983,0.9201,0.1404,0.9968,0.9338
1.117,0.5023,0.9950,0.9987,0.3466,0.9986,0.4145,0.9925,0.9974
2.64,0.3474,0.8451,0.9988,0.0081,0.2872,0.5740,0.0009,0.9881
1.148,0.0057,0.9983,0.9983,0.0000,0.9997,0.8537,0.9927,1.0000
1.76,0.5019,0.9961,0.9947,0.7900,0.9998,0.0741,0.0002,0.9965
2.230,0.6667,0.8911,0.9971,0.0032,0.9997,0.8370,0.9996,0.0027
3.2,0.2692,0.9994,0.9983,0.6621,0.9908,0.9354,0.0003,0.9302
1.246,0.5084,0.9569,0.9920,0.0010,0.9965,0.7290,0.0031,0.9994
1.81,0.3164,0.9935,0.9854,0.0031,0.1980,0.1394,0.0810,0.9955
1.309,0.5329,0.5614,0.8212,0.0018,0.9877,0.8024,0.0068,0.9973
1.219,0.5001,0.9991,0.8488,0.0030,0.9943,0.3563,0.0106,0.9982
1.226,0.5246,0.9930,0.4875,0.0016,0.9979,0.2636,0.0004,0.9936
2.93,0.5411,0.1454,0.9996,0.0139,0.0295,0.2451,0.0045,0.9986
1.59,0.4761,0.6113,0.8712,0.0012,0.3699,0.0471,0.0219,0.9999
2.201,0.5768,0.9978,0.9985,0.5926,0.9999,0.7988,0.9763,0.9850
2.14,0.2286,0.9909,0.9993,0.0060,0.9962,0.6231,0.0079,0.9916
1.138,0.6667,0.9941,0.9928,0.9894,0.0014,0.9339,0.9973,0.0001
1.236,1.0000,0.3985,0.3075,0.4300,0.1294,0.5741,0.3372,0.8519
1.354,1.0000,0.0100,0.1028,0.7971,0.5906,0.8791,0.4887,0.1016
1.217,0.5620,0.9934,0.9925,0.0092,0.9955,0.3573,0.0014,0.9933
1.373,0.9999,0.9907,0.3628,0.6940,0.2428,0.6704,0.8623,0.9022
1.190,0.6532,0.9999,0.6301,0.0019,0.9997,0.0784,0.0004,0.9991
1.338,1.0000,0.4895,0.2133,0.1187,0.7017,0.5110,0.2005,0.0859
2.280,0.7500,0.9832,0.3568,0.0017,0.0085,0.4227,0.0070,0.9998
2.179,0.7504,0.0056,0.9916,0.0065,0.9997,0.6072,0.4670,0.9984
4.4,0.0811,0.9868,1.0000,0.0016,0.9907,0.6564,0.0027,0.9941
1.119,0.5453,0.9957,0.9990,0.9994,0.9956,0.4542,0.9914,0.9989
1.152,0.6249,0.9981,0.9935,0.0001,0.9952,0.0965,0.0020,0.9977
3.67,0.5006,0.5712,0.9897,0.0074,0.9998,0.4260,0.9943,0.0015
1.501,0.9375,0.0304,0.9938,0.0045,0.5212,0.7919,0.0164,0.2169
1.463,0.8002,1.0000,0.0014,0.0065,0.9958,0.9043,0.9992,0.9506
1.494,0.8000,0.9945,0.7670,0.0062,0.9985,0.3126,0.9965,0.7759
2.144,0.8333,0.9809,0.9964,0.0555,0.7390,0.4984,0.0003,0.0061
2.277,0.6227,0.9993,0.9996,0.2188,0.0042,0.0361,0.9811,0.5807
1.521,0.7851,0.2819,0.7858,0.0002,0.0070,0.3277,0.0001,0.9943
1.445,1.0000,0.6751,0.1293,0.4328,0.4468,0.7757,0.7734,0.2879
3.24,0.5264,0.4744,0.9989,0.0014,0.6232,0.4882,0.9869,0.9992
1.75,0.0177,0.9993,0.9986,0.7161,0.9884,0.6799,0.0641,0.9980
1.379,0.6732,0.9891,0.0032,0.0031,0.4608,0.1858,0.0064,0.9987
2.91,0.6156,0.9986,0.9891,0.0084,0.8031,0.9759,0.9624,0.2936
1.334,1.0000,0.5688,0.9451,0.1155,0.9347,0.7060,0.2965,0.0757
1.326,1.0000,0.0332,0.1135,0.3495,0.4239,0.8806,0.2073,0.5525
1.83,0.5148,0.9942,0.9964,0.9973,0.0001,0.0246,0.9974,0.9978
3.0,0.3957,0.7293,0.9901,0.6989,0.9971,0.9251,0.0104,0.9927
2.53,0.3581,0.9981,0.9699,0.0007,0.9933,0.8268,0.0008,0.9974
1.90,0.0252,0.9450,0.9735,0.0106,0.9891,0.9810,0.6867,0.9764
1.74,0.0161,0.9980,0.9963,0.0009,0.9995,0.7678,0.0732,0.9972
2.246,0.8030,0.3704,0.3315,0.0023,0.1235,0.4321,0.0081,0.9950
2.66,0.3239,0.6967,0.9974,0.0015,0.9125,0.1333,0.0819,0.9990
2.18,0.1775,0.9998,0.5472,0.0977,0.9988,0.3487,0.2232,0.9962
1.115,0.6414,0.6231,0.9954,0.0019,0.5584,0.8643,0.0089,0.9987
1.32,0.5564,0.9892,0.9997,0.5822,0.9976,0.8598,0.0008,0.9974
3.63,0.4262,0.9829,0.9979,0.0234,0.4405,0.6291,0.9956,0.9967
1.402,0.9976,0.5718,0.7930,0.7688,0.9237,0.2684,0.0680,0.9833
2.103,0.4792,0.9976,0.9977,0.0028,0.4150,0.3750,0.0051,0.9966
1.449,1.0000,0.7358,0.5400,0.8464,0.4733,0.0112,0.8036,0.3239
1.79,0.5115,0.9994,0.9981,0.0013,0.5864,0.3256,0.6341,0.9918
3.28,0.2639,0.9874,1.0000,0.0014,0.9932,0.3018,0.9984,0.9994
2.148,0.7530,0.9212,0.9914,0.0011,0.0006,0.4377,0.8996,0.9959
1.411,0.7504,0.9963,0.9947,0.0028,0.9997,0.1135,0.0002,0.9895
2.154,0.7553,0.3182,0.9950,0.0012,0.0008,0.2270,0.9848,0.9987
1.396,1.0000,0.1969,0.0674,0.1245,0.0469,0.9195,0.2850,0.8276
1.48,0.2605,0.6761,0.9579,0.0003,0.9976,0.7326,0.0013,0.9935
3.19,0.4262,0.9999,0.9958,0.0041,0.9994,0.9376,0.4421,0.9929
1.478,0.7497,0.9975,0.7370,0.0084,0.0157,0.9440,0.0027,0.9972
2.275,0.8001,0.9932,0.9996,0.0029,0.9912,0.6773,0.9979,0.8473
1.433,0.9996,0.2202,0.3502,0.2858,0.8174,0.1124,0.9336,0.2403
1.496,1.0000,0.4994,0.4905,0.7752,0.7768,0.8258,0.7212,0.2221
3.52,0.6000,0.1831,0.9977,0.0266,0.9949,0.0732,0.0114,0.9954
2.132,0.7500,0.9977,0.9943,0.6257,0.0002,0.5896,0.0030,0.9968
1.461,0.6024,0.9998,0.9934,0.2354,0.9952,0.8383,0.9987,0.9969
1.503,0.9991,0.7802,0.4478,0.2603,0.2029,0.7558,0.2844,0.5149
3.65,0.7997,0.9999,0.9971,0.0013,0.9908,0.2171,0.0063,0.1736
2.124,0.8015,0.9996,0.9993,0.0008,0.0006,0.9103,0.9998,0.9933
1.124,0.5494,0.4253,0.9992,0.0102,0.9955,0.0987,0.8800,0.9936
2.282,1.0000,0.8895,0.4340,0.4883,0.7116,0.8104,0.1154,0.1047
1.261,0.6731,0.5926,0.4985,0.0013,0.9996,0.9983,0.0074,0.9973
1.305,1.0000,0.8202,0.0990,0.2506,0.8854,0.1240,0.9153,0.1501
1.356,0.7506,0.9931,0.9961,0.0541,0.9774,0.6302,0.0018,0.9990
1.234,0.5157,0.0052,0.9994,0.0002,0.9253,0.1955,0.0059,0.9907
2.49,0.6375,0.2329,0.9729,0.0012,0.0260,0.8557,0.9875,0.9987
2.29,0.3420,0.9913,0.9998,0.0037,0.0604,0.2342,0.0024,0.9818
2.16,0.6615,0.0005,0.9977,0.0005,0.9972,0.8895,0.3919,0.9866
2.190,0.6797,0.5550,0.9977,0.0029,0.0045,0.5629,0.0000,0.9944
1.491,0.7511,0.9906,0.8665,0.0017,0.9987,0.5298,0.1630,0.9945
1.165,0.5005,0.0060,0.0035,0.0195,0.9955,0.4924,0.0003,0.9990
2.62,0.3350,0.7473,0.6482,0.0004,0.9925,0.4830,0.0069,0.9972
1.429,0.7500,0.7684,0.7319,0.0104,0.0582,0.2285,0.0125,0.9939
2.295,0.8000,0.9994,0.0013,0.0002,0.9885,0.9339,0.9958,0.9913
1.476,1.0000,0.7172,0.7943,0.3682,0.7749,0.5563,0.7621,0.5717
1.146,0.2752,0.5502,0.7301,0.0002,0.9978,0.8958,0.0023,0.9980
2.133,0.5096,0.8839,0.0001,0.0031,0.4651,0.6801,0.5050,0.9996
1.7,0.0021,0.9976,0.9988,0.9925,0.9994,0.1334,0.1245,0.9986
2.150,0.3861,0.9969,0.9975,0.1309,0.9860,0.4089,0.1088,0.9968
3.30,0.3986,0.9937,0.9964,0.0066,0.9934,0.1860,0.0002,0.9975
1.535,0.8012,0.9554,0.9975,0.9499,0.0045,0.3093,0.0021,0.9984
2.262,0.8000,0.9908,0.9967,0.0051,0.9933,0.1927,0.5723,0.9995
1.451,1.0000,0.8803,0.6108,0.3295,0.3655,0.1272,0.4214,0.1313
1.88,0.0106,0.9987,0.9356,0.0002,0.9989,0.8528,0.0006,0.9963
2.9,0.3421,0.9929,0.9979,0.3479,0.0011,0.5105,0.9988,0.9998
2.215,0.8364,0.9989,1.0000,0.7970,0.9563,0.9252,0.9984,0.9976
1.172,0.5400,0.6505,0.9973,0.0014,0.0037,0.6393,0.0023,0.9995
1.341,0.6660,0.0091,0.9920,0.3100,0.9961,0.5356,0.3191,0.9948
1.203,0.5275,0.0786,0.9971,0.0051,0.9985,0.7716,0.0009,0.9932
1.367,1.0000,0.2473,0.9867,0.3622,0.1129,0.3508,0.3289,0.8061
1.223,0.6667,0.9991,0.9951,0.3326,0.9906,0.0042,0.9992,0.9956
1.185,0.6756,0.9981,0.9955,0.8779,0.0019,0.2651,0.9987,0.9991
1.248,0.9355,0.9998,0.9983,0.0012,0.9945,0.1405,0.0007,0.9814
2.71,0.4180,0.9956,0.9989,0.0055,0.9917,0.3609,0.0026,0.9972
1.399,0.6724,0.5495,0.9985,0.0036,0.9975,0.0371,0.9249,0.9947
2.31,0.3442,0.9850,0.9959,0.3310,0.0908,0.3666,0.4866,0.9946
1.102,0.2378,0.9913,0.9974,0.0119,0.9997,0.8076,0.0007,0.9961
1.489,1.0000,0.3721,0.4614,0.5596,0.5374,0.5006,0.9377,0.2728
2.188,0.7507,0.0084,0.9994,0.5750,0.0018,0.3108,0.9901,0.9900
1.63,0.5112,0.9983,0.9995,0.9979,0.0002,0.7850,0.9981,0.9937
2.224,0.5112,0.9950,0.4064,0.4872,0.9935,0.9453,0.9968,0.9986
1.331,0.7039,0.9900,0.9980,0.0406,0.0015,0.5424,0.0085,0.9887
1.94,0.5296,0.2114,0.9975,0.4207,0.9977,0.9266,0.5242,0.9970
1.279,1.0000,0.9829,0.5682,0.0461,0.2668,0.2295,0.6158,0.6454
1.253,0.7501,0.9893,0.9574,0.0051,0.4816,0.0092,0.0020,0.9877
2.86,0.7464,0.9961,0.9837,0.0099,0.5799,0.2992,0.0145,0.9958
1.232,0.5558,0.9918,0.6122,0.0002,0.9985,0.6977,0.0098,0.9977
1.177,0.5895,0.4895,0.9964,0.0031,0.8036,0.7195,0.0060,0.9975
1.290,1.0000,0.8292,0.6026,0.9053,0.9930,0.9494,0.7320,0.1524
1.406,0.9999,0.9502,0.2112,0.5428,0.3221,0.0706,0.0727,0.8767
2.143,0.7501,0.9990,0.2919,0.0016,0.0026,0.4061,0.0048,0.9980
2.161,0.5016,0.9976,0.9960,0.0039,0.4764,0.8362,0.0099,0.9155
1.460,0.7660,0.9935,0.9990,0.0007,0.0007,0.9546,0.9951,0.9828
1.504,0.9950,0.8122,0.5226,0.7568,0.2538,0.5305,0.0975,0.1471
1.50,0.2654,0.1182,0.9898,0.0001,0.9886,0.2402,0.0063,0.9931
2.286,0.8002,0.9973,0.9967,0.0003,0.0094,0.8615,0.7643,0.9990
