# Geniso Percentile Cutoff Performance Test - Raw Data Stream
# Date: 2025-08-17 13:42:56
# Parameters: min_intron=35 min_exon=25 flank=99 limit=100
# High-score threshold: 75.0th percentile
# Percentiles tested: [10, 20, 30]
# Baseline addition: DISABLED
#
# Column Definitions:
#   Col 1: gene        - Name of the gene/sequence
#   Col 2: length      - Gene sequence length (bp)
#   Col 3: base_don    - Baseline donor sites
#   Col 4: base_acc    - Baseline acceptor sites
#   Col 5: base_iso    - Baseline isoforms
#   Col 6: base_cplx   - Baseline complexity score
#   Col 7: base_rt     - Baseline runtime (s)
#   Col 8: hmm_rt      - HMM runtime (s)
# --- Percentile 10% columns ---
#   Col 9: p10_don     - Donor sites at 10%
#   Col 10: p10_acc     - Acceptor sites at 10%
#   Col 11: p10_iso     - Isoforms at 10%
#   Col 12: p10_ret     - Retention % at 10%
#   Col 13: p10_hsr     - High-score retention % at 10%
#   Col 14: p10_cplx    - Complexity ratio at 10%
#   Col 15: p10_speed   - Speedup factor at 10%
#   Col 16: p10_rt      - Runtime at 10% (s)
# --- Percentile 20% columns ---
#   Col 17: p20_don     - Donor sites at 20%
#   Col 18: p20_acc     - Acceptor sites at 20%
#   Col 19: p20_iso     - Isoforms at 20%
#   Col 20: p20_ret     - Retention % at 20%
#   Col 21: p20_hsr     - High-score retention % at 20%
#   Col 22: p20_cplx    - Complexity ratio at 20%
#   Col 23: p20_speed   - Speedup factor at 20%
#   Col 24: p20_rt      - Runtime at 20% (s)
# --- Percentile 30% columns ---
#   Col 25: p30_don     - Donor sites at 30%
#   Col 26: p30_acc     - Acceptor sites at 30%
#   Col 27: p30_iso     - Isoforms at 30%
#   Col 28: p30_ret     - Retention % at 30%
#   Col 29: p30_hsr     - High-score retention % at 30%
#   Col 30: p30_cplx    - Complexity ratio at 30%
#   Col 31: p30_speed   - Speedup factor at 30%
#   Col 32: p30_rt      - Runtime at 30% (s)
#
ch.1_107                  670       20       13      100     3.5292     0.0536     0.0058       11        9      100    37.00    40.00   0.7757     3.51     0.0153       10        8      100    18.00    24.00   0.5046     6.07     0.0088        9        7      100    18.00    24.00   0.5046    10.44     0.0051
ch.1_108                  620       18       16      100     2.9587     0.0475     0.0056       13        9      100    97.00   100.00   1.0000     1.56     0.0305       12        8      100    89.00   100.00   0.9999     2.16     0.0220       10        7      100    79.00   100.00   0.9997     4.64     0.0102
ch.1_109                  614       22       16      100     2.2838     0.0488     0.0053       11       12      100    82.00    96.00   0.9985     1.85     0.0263       10       11      100    78.00    96.00   0.9982     2.71     0.0180        9        9      100    57.00    88.00   0.9496     4.79     0.0102
ch.1_11                   480       11        9       84     1.3093     0.0021     0.0040        6        5       33    39.29    42.86   0.8816     2.42     0.0009        5        4       20    23.81    23.81   0.8004     3.78     0.0006        4        4       16    19.05    19.05   0.7986     5.40     0.0004
ch.1_110                  697       27       20      100     0.7931     0.0628     0.0056        9       18      100    83.00    92.00   0.9954     3.63     0.0173        8       16      100    77.00    92.00   0.9954     5.18     0.0121        7       14      100    42.00    56.00   0.5211    12.03     0.0052
ch.1_111                  604       18       17      100     2.8209     0.0478     0.0049       12       11      100    97.00    96.00   0.9998     1.86     0.0257       11       10      100    77.00    84.00   0.9721     2.94     0.0163        9        9      100    57.00    64.00   0.9039     5.13     0.0093
ch.1_112                  637       14       19      100     0.3375     0.0515     0.0056        8       16      100    71.00    68.00   0.9209     2.25     0.0229        7       14      100    58.00    64.00   0.9208     4.25     0.0121        6       12      100    32.00    48.00   0.9185     9.49     0.0054
ch.1_113                  722       14       17      100     1.4043     0.0626     0.0062        9       12      100    74.00    76.00   0.9999     2.71     0.0231        8       11      100    66.00    76.00   0.9999     5.70     0.0110        7        9      100    63.00    76.00   0.9999     9.47     0.0066
ch.1_114                  586       21       15      100     1.3558     0.0464     0.0049       15       13      100    55.00    44.00   0.9341     2.51     0.0185       13       12      100    52.00    44.00   0.9341     4.00     0.0116       11       10      100    43.00    44.00   0.9341     8.43     0.0055
ch.1_115                  617       17       16      100     1.2785     0.0517     0.0067       13        9      100    77.00    92.00   0.9988     3.11     0.0166       12        8      100    60.00    80.00   0.9866     4.32     0.0120       10        7      100    31.00    40.00   0.8819     6.77     0.0076
